_date,total_views,unique_views
2022-03-11,3,2
2022-03-12,2,2
2022-03-13,3,3
2022-03-14,15,7
2022-03-15,9,7
2022-03-16,7,1
2022-03-17,16,8
2022-03-18,2,2
2022-03-19,13,4
2022-03-20,5,3
2022-03-21,10,3
2022-03-22,11,5
2022-03-23,8,6
2022-03-24,4,4
2022-03-25,10,3
2022-03-26,22,6
2022-03-27,5,4
2022-03-28,22,7
2022-03-29,5,3
2022-03-30,6,4
2022-03-31,5,3
2022-04-01,9,6
2022-04-02,6,5
2022-04-03,7,3
2022-04-04,8,8
2022-04-05,27,13
2022-04-06,13,8
2022-04-07,7,4
2022-04-08,4,2
2022-04-09,20,8
2022-04-10,5,5
2022-04-11,4,4
2022-04-12,4,3
2022-04-13,3,3
2022-04-14,13,8
2022-04-15,11,9
2022-04-16,16,8
2022-04-17,11,6
2022-04-18,19,4
2022-04-19,26,5
2022-04-20,15,6
2022-04-21,2,2
2022-04-22,5,5
2022-04-23,4,3
2022-04-24,10,8
2022-04-25,13,3
2022-04-26,22,5
2022-04-27,14,7
2022-04-28,7,5
2022-04-29,6,5
2022-04-30,11,7
2022-05-01,27,4
2022-05-02,11,5
2022-05-03,4,3
2022-05-04,6,5
2022-05-05,8,4
2022-05-06,5,3
2022-05-07,10,6
2022-05-08,3,2
2022-05-09,6,1
2022-05-11,6,4
2022-05-12,4,4
2022-05-13,21,6
2022-05-14,10,3
2022-05-15,1,1
2022-05-16,4,2
2022-05-17,17,7
2022-05-18,1,1
2022-05-19,2,2
2022-05-20,8,6
2022-05-21,4,4
2022-05-22,10,5
2022-05-24,2,2
2022-05-26,1,1
2022-05-27,5,3
2022-05-28,2,2
2022-05-29,13,4
2022-05-30,1,1
2022-06-01,3,3
2022-06-03,8,2
2022-06-04,6,4
2022-06-05,6,3
2022-06-06,6,4
2022-06-07,24,7
2022-06-08,23,4
2022-06-09,6,4
2022-06-10,3,1
2022-06-11,1,1
2022-06-12,7,5
2022-06-13,2,2
2022-06-14,11,6
2022-06-15,6,3
2022-06-16,1,1
2022-06-18,8,2
2022-06-19,1,1
2022-06-20,2,2
2022-06-21,1,1
2022-06-23,3,3
2022-06-24,4,2
2022-06-25,4,3
2022-06-26,3,3
2022-06-27,3,2
2022-06-28,4,4
2022-06-29,1,1
2022-07-01,1,1
2022-07-02,4,3
2022-07-03,4,3
2022-07-04,2,2
2022-07-05,2,2
2022-07-06,3,2
2022-07-07,9,1
2022-07-08,3,2
2022-07-10,2,2
2022-07-12,5,5
2022-07-13,3,2
2022-07-16,10,4
2022-07-17,1,1
2022-07-18,1,1
2022-07-19,4,3
2022-07-21,2,2
2022-07-22,2,2
2022-07-23,15,2
2022-07-25,6,4
2022-07-26,1,1
2022-07-27,2,2
2022-07-28,8,2
2022-07-30,1,1
2022-07-31,2,2
2022-08-01,1,1
2022-08-03,2,2
2022-08-04,3,3
2022-08-05,2,1
2022-08-06,8,6
2022-08-07,1,1
2022-08-08,1,1
2022-08-09,3,3
2022-08-10,1,1
2022-08-11,1,1
2022-08-12,2,2
2022-08-13,1,1
2022-08-14,6,5
2022-08-15,1,1
2022-08-16,1,1
2022-08-17,3,3
2022-08-18,7,1
2022-08-19,7,4
2022-08-20,3,2
2022-08-21,9,6
2022-08-22,7,6
2022-08-23,3,3
2022-08-24,7,7
2022-08-25,15,8
2022-08-26,12,10
2022-08-27,8,6
2022-08-28,7,3
2022-08-29,5,3
2022-08-30,4,3
2022-08-31,5,3
2022-09-01,13,2
2022-09-02,7,5
2022-09-03,2,1
2022-09-04,6,4
2022-09-05,2,2
2022-09-06,4,4
2022-09-07,2,2
2022-09-08,3,3
2022-09-09,5,3
2022-09-10,12,3
2022-09-11,3,3
2022-09-12,5,4
2022-09-13,11,8
2022-09-14,8,3
2022-09-15,1,1
2022-09-17,9,4
2022-09-18,3,3
2022-09-20,8,5
2022-09-21,6,3
2022-09-22,1,1
2022-09-23,2,2
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,1,1
2022-09-28,3,2
2022-09-29,3,3
2022-09-30,3,2
2022-10-01,7,4
2022-10-02,23,8
2022-10-03,8,5
2022-10-04,12,6
2022-10-05,5,3
2022-10-06,5,4
2022-10-07,20,7
2022-10-08,17,5
2022-10-09,8,5
2022-10-10,15,4
2022-10-11,6,4
2022-10-12,3,3
2022-10-13,2,2
2022-10-14,2,2
2022-10-15,2,1
2022-10-16,6,5
2022-10-17,17,6
2022-10-18,12,6
2022-10-19,2,1
2022-10-20,14,4
2022-10-21,4,4
2022-10-22,4,3
2022-10-23,20,3
2022-10-24,14,3
2022-10-25,5,3
2022-10-26,2,2
2022-10-27,3,2
2022-10-28,1,1
2022-10-29,1,1
2022-10-30,3,2
2022-10-31,2,2
2022-11-01,10,6
2022-11-02,1,1
2022-11-03,7,5
2022-11-04,3,3
2022-11-05,4,4
2022-11-06,4,3
2022-11-07,3,1
2022-11-08,3,3
2022-11-09,5,3
2022-11-10,6,4
2022-11-11,4,3
2022-11-12,10,3
2022-11-14,5,4
2022-11-15,1,1
2022-11-16,2,2
2022-11-17,17,9
2022-11-18,3,2
2022-11-19,1,1
2022-11-20,18,7
2022-11-21,30,10
2022-11-22,7,4
2022-11-23,3,1
2022-11-24,14,9
2022-11-25,8,3
2022-11-26,2,1
2022-11-27,2,2
2022-11-28,5,1
2022-11-29,3,3
2022-11-30,3,2
2022-12-01,15,6
2022-12-02,2,2
2022-12-03,8,3
2022-12-04,11,6
2022-12-05,24,8
2022-12-06,2,1
2022-12-07,3,2
2022-12-10,2,2
2022-12-11,2,2
2022-12-12,2,2
2022-12-13,1,1
2022-12-14,3,3
2022-12-15,1,1
2022-12-16,2,2
2022-12-17,2,2
2022-12-18,5,3
2022-12-19,2,2
2022-12-20,6,2
2022-12-21,1,1
2022-12-23,3,2
2022-12-24,2,2
2022-12-25,1,1
2022-12-26,3,1
2022-12-28,5,2
2022-12-29,12,6
2022-12-30,6,3
2022-12-31,1,1
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,7,6
2023-01-04,5,3
2023-01-05,4,4
2023-01-06,4,4
2023-01-07,15,4
2023-01-08,3,3
2023-01-09,3,2
2023-01-10,6,4
2023-01-11,1,1
2023-01-12,2,2
2023-01-13,2,2
2023-01-14,15,6
2023-01-15,5,5
2023-01-16,3,3
2023-01-17,2,2
2023-01-18,2,2
2023-01-19,16,3
2023-01-20,17,6
2023-01-21,12,5
2023-01-22,2,2
2023-01-24,1,1
2023-01-25,5,1
2023-01-26,8,3
2023-01-27,4,2
2023-01-28,4,4
2023-01-29,5,4
2023-01-30,3,2
2023-01-31,9,3
2023-02-01,5,2
2023-02-02,3,1
2023-02-03,12,7
2023-02-04,23,8
2023-02-05,6,3
2023-02-06,5,5
2023-02-07,3,2
2023-02-08,4,2
2023-02-09,3,2
2023-02-10,4,4
2023-02-11,6,3
2023-02-12,10,7
2023-02-13,1,1
2023-02-14,13,5
2023-02-15,21,3
2023-02-17,1,1
2023-02-18,1,1
2023-02-19,9,9
2023-02-20,4,4
2023-02-21,46,4
2023-02-22,3,3
2023-02-23,6,5
2023-02-24,5,3
2023-02-25,2,1
2023-02-26,9,6
2023-02-27,3,3
2023-02-28,11,4
2023-03-01,2,2
2023-03-02,7,2
2023-03-03,43,3
2023-03-04,1,1
2023-03-05,6,1
2023-03-06,4,4
2023-03-07,2,1
2023-03-08,1,1
2023-03-09,1,1
2023-03-11,3,3
2023-03-12,3,3
2023-03-13,1,1
2023-03-14,1,1
2023-03-15,6,4
2023-03-17,3,3
2023-03-18,3,3
2023-03-19,6,4
2023-03-20,8,3
2023-03-21,1,1
2023-03-22,2,2
2023-03-23,1,1
2023-03-24,5,2
2023-03-25,8,2
2023-03-26,3,3
2023-03-27,1,1
2023-03-28,10,8
2023-03-29,4,3
2023-03-30,3,2
2023-03-31,2,2
2023-04-01,3,3
2023-04-02,1,1
2023-04-03,3,1
2023-04-04,4,3
2023-04-05,2,2
2023-04-06,1,1
2023-04-07,8,2
2023-04-08,2,1
2023-04-09,11,7
2023-04-10,4,4
2023-04-12,7,3
2023-04-13,7,4
2023-04-14,7,3
2023-04-15,1,1
2023-04-17,2,1
2023-04-18,1,1
2023-04-19,2,2
2023-04-20,9,5
2023-04-22,13,3
2023-04-23,2,2
2023-04-24,5,2
2023-04-25,10,4
2023-04-27,3,2
2023-04-28,2,2
2023-04-30,3,3
2023-05-01,3,3
2023-05-02,1,1
2023-05-03,3,3
2023-05-04,2,2
2023-05-05,1,1
2023-05-06,2,2
2023-05-07,5,4
2023-05-10,2,2
2023-05-11,4,1
2023-05-12,6,3
2023-05-13,7,3
2023-05-14,2,2
2023-05-15,1,1
2023-05-16,2,2
2023-05-17,4,2
2023-05-19,1,1
2023-05-20,3,3
2023-05-21,1,1
2023-05-22,1,1
2023-05-23,1,1
2023-05-24,1,1
2023-05-25,6,4
2023-05-26,6,4
2023-05-27,5,4
2023-05-28,3,3
2023-05-29,1,1
2023-05-30,14,4
2023-05-31,3,2
2023-06-02,2,1
2023-06-04,3,3
2023-06-05,11,5
2023-06-06,4,3
2023-06-07,6,4
2023-06-08,1,1
2023-06-09,3,2
2023-06-12,6,3
2023-06-13,5,2
2023-06-15,2,2
2023-06-16,2,2
2023-06-17,3,3
2023-06-18,1,1
2023-06-19,5,2
2023-06-20,1,1
2023-06-21,2,1
2023-06-23,4,2
2023-06-24,2,2
2023-06-25,5,3
2023-06-26,2,2
2023-06-27,3,2
2023-06-28,1,1
2023-06-30,5,3
2023-07-02,6,4
2023-07-03,3,2
2023-07-04,3,3
2023-07-06,1,1
2023-07-07,3,3
2023-07-09,12,4
2023-07-10,1,1
2023-07-11,7,5
2023-07-12,4,2
2023-07-13,3,2
2023-07-15,6,1
2023-07-16,5,5
2023-07-18,1,1
2023-07-19,5,2
2023-07-20,3,3
2023-07-21,14,7
2023-07-22,16,5
2023-07-23,6,4
2023-07-24,4,4
2023-07-25,3,3
2023-07-26,9,3
2023-07-28,2,1
2023-07-29,10,5
2023-07-30,7,3
2023-07-31,18,5
2023-08-01,4,4
2023-08-02,5,3
2023-08-03,5,2
2023-08-04,2,2
2023-08-05,8,5
2023-08-06,6,6
2023-08-07,3,2
2023-08-08,12,3
2023-08-09,7,2
2023-08-10,8,5
2023-08-11,1,1
2023-08-12,2,1
2023-08-13,3,2
2023-08-14,1,1
2023-08-15,2,2
2023-08-16,5,3
2023-08-17,1,1
2023-08-18,5,5
2023-08-19,3,2
2023-08-20,9,5
2023-08-21,11,6
2023-08-22,7,5
2023-08-23,27,4
2023-08-24,11,3
2023-08-25,18,4
2023-08-26,1,1
2023-08-27,15,4
2023-08-28,17,4
2023-08-29,8,5
2023-08-30,8,5
2023-08-31,2,2
2023-09-01,2,2
2023-09-02,1,1
2023-09-03,1,1
2023-09-04,3,1
2023-09-05,11,4
2023-09-06,4,4
2023-09-07,2,2
2023-09-08,10,3
2023-09-09,7,6
2023-09-10,6,3
2023-09-11,2,2
2023-09-12,6,1
2023-09-13,2,2
2023-09-14,2,2
2023-09-15,15,2
2023-09-16,4,4
2023-09-17,10,1
2023-09-18,1,1
2023-09-19,1,1
2023-09-20,4,4
2023-09-22,1,1
2023-09-23,2,2
2023-09-24,6,3
2023-09-25,7,4
2023-09-26,50,3
2023-09-27,12,4
2023-09-28,1,1
2023-09-29,1,1
2023-09-30,4,1
2023-10-01,2,1
2023-10-02,4,2
2023-10-03,2,2
2023-10-04,5,5
2023-10-05,17,5
2023-10-06,13,6
2023-10-07,2,2
2023-10-08,20,7
2023-10-09,6,6
2023-10-10,7,7
2023-10-11,9,6
2023-10-12,33,6
2023-10-13,29,6
2023-10-14,4,3
2023-10-15,9,5
2023-10-16,4,3
2023-10-17,11,7
2023-10-18,2,2
2023-10-19,9,5
2023-10-21,8,3
2023-10-22,8,3
2023-10-23,5,4
2023-10-24,14,4
2023-10-25,24,6
2023-10-26,6,3
2023-10-27,14,7
2023-10-28,6,3
2023-10-29,7,5
2023-10-30,21,5
2023-10-31,5,4
2023-11-01,11,6
2023-11-02,7,5
2023-11-03,4,3
2023-11-04,2,2
2023-11-05,27,5
2023-11-06,1,1
2023-11-07,4,4
2023-11-08,5,4
2023-11-09,3,3
2023-11-10,1,1
2023-11-11,3,2
2023-11-12,8,6
2023-11-13,4,3
2023-11-14,13,4
2023-11-15,11,7
2023-11-16,17,7
2023-11-17,14,7
2023-11-18,11,5
2023-11-19,3,3
2023-11-20,6,3
2023-11-21,7,2
2023-11-22,2,2
2023-11-23,6,4
2023-11-24,3,3
2023-11-25,48,4
2023-11-26,2,2
2023-11-27,6,4
2023-11-28,6,4
2023-11-29,37,3
2023-11-30,3,2
2023-12-01,1,1
2023-12-02,5,2
2023-12-04,2,2
2023-12-05,13,3
2023-12-06,5,3
2023-12-07,9,4
2023-12-08,3,3
2023-12-09,15,3
2023-12-10,65,2
2023-12-11,2,2
2023-12-12,2,2
2023-12-13,8,3
2023-12-14,2,1
2023-12-15,11,6
2023-12-16,6,5
2023-12-17,30,4
2023-12-18,2,2
2023-12-19,1,1
2023-12-21,10,4
2023-12-23,3,3
2023-12-24,10,7
2023-12-25,2,2
2023-12-26,4,3
2023-12-27,7,4
2023-12-29,3,3
2023-12-30,4,3
2023-12-31,4,4
2024-01-01,5,2
2024-01-02,21,6
2024-01-03,16,7
2024-01-04,15,6
2024-01-05,2,2
2024-01-06,24,6
2024-01-07,7,3
2024-01-08,13,9
2024-01-09,11,4
2024-01-10,56,4
2024-01-11,10,8
2024-01-12,8,5
2024-01-13,8,6
2024-01-14,1,1
2024-01-15,4,4
2024-01-16,3,3
2024-01-17,5,3
2024-01-18,2,2
2024-01-19,6,3
2024-01-20,1,1
2024-01-21,9,6
2024-01-22,7,6
2024-01-23,60,8
2024-01-24,8,5
2024-01-25,18,4
2024-01-26,16,6
2024-01-27,2,2
2024-01-28,15,5
2024-01-29,5,5
2024-01-30,9,6
2024-01-31,7,3
2024-02-01,18,5
2024-02-02,20,4
2024-02-03,13,4
2024-02-04,10,5
2024-02-05,9,7
2024-02-06,30,8
2024-02-07,11,7
2024-02-08,8,2
2024-02-09,12,4
2024-02-10,20,4
2024-02-11,3,2
2024-02-12,8,5
2024-02-13,3,3
2024-02-14,14,7
2024-02-15,22,6
2024-02-16,10,5
2024-02-17,9,3
2024-02-18,41,7
2024-02-19,33,4
2024-02-20,14,3
2024-02-21,2,2
2024-02-22,3,2
2024-02-23,11,4
2024-02-24,22,9
2024-02-25,7,4
2024-02-26,3,3
2024-02-27,7,5
2024-02-28,5,3
2024-02-29,16,4
2024-03-01,9,1
2024-03-02,12,6
2024-03-03,5,3
2024-03-04,2,2
2024-03-05,4,4
2024-03-06,34,5
2024-03-07,67,12
2024-03-08,11,2
2024-03-09,20,4
2024-03-10,4,4
2024-03-11,4,4
2024-03-12,5,2
2024-03-13,32,4
2024-03-14,5,3
2024-03-15,2,2
2024-03-16,13,5
2024-03-17,21,5
2024-03-18,5,2
2024-03-19,2,2
2024-03-20,4,4
2024-03-21,15,5
2024-03-22,1,1
2024-03-23,3,3
2024-03-24,25,6
2024-03-25,7,3
2024-03-26,2,2
2024-03-28,5,3
2024-03-29,21,4
2024-03-30,11,6
2024-03-31,6,5
2024-04-01,8,4
2024-04-02,6,4
2024-04-03,5,4
2024-04-04,2,2
2024-04-05,1,1
2024-04-07,14,2
2024-04-08,1,1
2024-04-09,6,2
2024-04-10,3,3
2024-04-11,4,3
2024-04-12,11,4
2024-04-14,3,3
2024-04-15,2,2
2024-04-16,4,3
2024-04-17,4,3
2024-04-18,6,5
2024-04-19,6,4
2024-04-20,1,1
2024-04-21,3,2
2024-04-22,4,3
2024-04-23,8,4
2024-04-24,1,1
2024-04-25,3,3
2024-04-26,2,2
2024-04-28,5,3
2024-04-29,3,3
2024-04-30,3,3
2024-05-01,3,3
2024-05-02,5,4
2024-05-03,1,1
2024-05-04,1,1
2024-05-05,1,1
2024-05-06,15,5
2024-05-07,13,2
2024-05-08,2,2
2024-05-09,1,1
2024-05-10,3,3
2024-05-11,8,2
2024-05-12,3,3
2024-05-13,2,1
2024-05-14,2,2
2024-05-15,8,4
2024-05-16,15,6
2024-05-17,12,5
2024-05-19,3,3
2024-05-20,5,2
2024-05-21,18,4
2024-05-22,5,4
2024-05-23,2,2
2024-05-24,2,1
2024-05-25,1,1
2024-05-26,1,1
2024-05-28,4,3
2024-05-29,2,2
2024-05-30,7,6
2024-05-31,1,1
2024-06-01,4,2
2024-06-02,5,2
2024-06-03,13,1
2024-06-05,2,1
2024-06-06,5,5
2024-06-07,8,4
2024-06-08,16,2
2024-06-09,1,1
2024-06-10,5,3
2024-06-11,41,3
2024-06-12,2,2
2024-06-13,1,1
2024-06-14,15,7
2024-06-15,2,2
2024-06-16,7,6
2024-06-17,15,7
2024-06-19,1,1
2024-06-20,1,1
2024-06-21,3,3
2024-06-22,10,1
2024-06-23,6,4
2024-06-24,6,3
2024-06-25,2,2
2024-06-26,7,4
2024-06-27,5,2
2024-06-28,2,1
2024-06-29,5,2
2024-06-30,2,2
2024-07-01,2,2
2024-07-02,1,1
2024-07-03,1,1
2024-07-04,16,5
2024-07-05,26,5
2024-07-06,7,3
2024-07-07,8,2
2024-07-09,5,4
2024-07-10,6,4
2024-07-11,3,3
2024-07-12,4,4
2024-07-13,2,2
2024-07-14,2,2
2024-07-15,7,3
2024-07-16,4,3
2024-07-17,6,4
2024-07-18,3,1
2024-07-19,3,2
2024-07-20,5,2
2024-07-22,5,3
2024-07-23,2,2
2024-07-24,1,1
2024-07-25,3,2
2024-07-26,2,2
2024-07-27,4,4
2024-07-28,6,3
2024-07-30,4,3
2024-08-01,5,2
2024-08-03,3,2
2024-08-04,1,1
2024-08-05,1,1
2024-08-07,2,1
2024-08-08,3,3
2024-08-09,7,3
2024-08-11,24,8
2024-08-12,2,2
2024-08-13,2,1
2024-08-14,2,2
2024-08-15,3,3
2024-08-16,4,2
2024-08-17,1,1
2024-08-18,12,7
2024-08-19,3,2
2024-08-20,43,3
2024-08-21,8,4
2024-08-22,3,2
2024-08-23,5,3
2024-08-24,14,4
2024-08-25,14,7
2024-08-26,5,4
2024-08-27,4,3
2024-08-28,4,3
2024-08-29,4,4
2024-08-30,6,3
2024-08-31,11,7
2024-09-01,2,2
2024-09-02,22,5
2024-09-03,7,6
2024-09-04,3,3
2024-09-05,27,6
2024-09-06,36,9
2024-09-07,4,3
2024-09-08,74,11
